address,fraud_flag,has_transaction_activity,has_token_activity,log_total_transactions,log_unique_receivers,log_unique_senders,log_total_eth_sent,log_total_eth_received,log_avg_eth_sent,log_avg_eth_received,log_wallet_lifetime_days,transactions_per_active_day,avg_gas_limit,avg_gas_price,log_total_token_transfers,log_unique_token_receivers,log_token_activity_lifetime_days,token_transfers_per_active_day
0x27ddd6467eff5ceda3112463b54702c2934ee5fc,0,1,0,2.3978952727983707,1.0986122886681098,1.3862943611198906,6.676761344341715,6.67676301112399,5.580665589739849,4.738383532247625,4.48863636973214,1.1111111111111112,21000.0,21000000000.0,0.0,0.0,0.0,0.0
0x6814d24d6a6f543ede14d1b4b9edbb8d00cc30a3,0,1,0,2.772588722239781,1.0986122886681098,2.4849066497880004,4.624953281540555,4.624972813284271,3.267647015349031,2.320603598496724,1.0986122886681098,7.5,72750.0,23716885752.75,0.0,0.0,0.0,0.0
0x14d76a0fdd3903c308da56af0f2728c843939c06,0,1,0,3.4011973816621555,1.0986122886681098,1.9459101490553132,5.0380326877425805,5.0381076039736215,2.479932531490441,2.4169725806671787,4.394449154672439,2.9,21000.0,39285714285.71429,0.0,0.0,0.0,0.0
0x343379619bab764d546d1dbb5fd13d2eb4375c18,0,1,0,4.61512051684126,1.0986122886681098,1.0986122886681098,1.9532481768961794,1.961690471571757,0.11424888893260662,0.11531489764692571,5.159055299214529,2.0833333333333335,152099.4,50000000000.0,0.0,0.0,0.0,0.0
0x0b857b4087f5bfac8b7452f96676bd8e6eaeba99,0,1,0,6.680854678790215,1.0986122886681098,2.302585092994046,7.437291570380183,7.437445122904449,1.669115980334661,1.652957378886093,6.238324625039508,4.061224489795919,34893.401015228425,21439043384.48223,0.0,0.0,0.0,0.0
0x6443ad66754dabb7789565c409d922a25464a9fb,0,1,0,1.3862943611198906,1.0986122886681098,0.6931471805599453,4.624962752268922,4.624972813284271,3.941571844334588,4.624972813284271,1.0986122886681098,1.5,55500.0,24433771505.5,0.0,0.0,0.0,0.0
0x4daf9a3ece83965c5f4028babbffaed738edccc6,0,1,0,1.3862943611198906,1.0986122886681098,0.6931471805599453,4.624963164037686,4.624972813284271,3.941572252105558,4.624972813284271,1.0986122886681098,1.5,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0x09e15c790644b26fde0b1c0624df4f5bf723ec81,0,1,0,1.3862943611198906,1.0986122886681098,0.6931471805599453,4.624963164037686,4.624972813284271,3.941572252105558,4.624972813284271,1.0986122886681098,1.5,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0xbebecc87d8153517de53fc74625cb2b6e8290735,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,0.10258005375374786,0.1034136216890817,0.05260478400895225,0.053043012737210335,5.746203190540153,2.0,21000.0,22000000000.0,0.0,0.0,0.0,0.0
0x5cf10557b229489e8c4670a9a7c0be38c42b1003,0,1,0,1.6094379124341003,1.0986122886681098,0.6931471805599453,1.38651561199711,1.3867780194933206,0.9164677364919135,0.9166776772851226,3.4011973816621555,2.0,21000.0,25000000000.0,0.0,0.0,0.0,0.0
